"city";"district";"address";"address_number";"latitude";"longitude";"closure_type";"shelter_type";"building_type";"owner";"ownership_type";"phone";"ramp"
"м.Київ";"Печерський";" б-р Дружби Народів";"10";"50.4127331";"30.534291";"Найпростіші укриття";"Підвал";"житловий будинок";"ОСББ ""Зеніт""";"Приватна";"067 209 51 10";"Відсутній"
"м.Київ";"Печерський";" б-р Дружби Народів";"10-А (під""їзд № 1 2 квартири з 1 по 106)";"50.4120617";"30.5346474";"Подвійного призначення";"Інше";"житловий будинок";"ЖБК ""Гідроградовець""";"Приватна";"095 822 44 95";"Відсутній"
"м.Київ";"Печерський";" б-р Дружби Народів";"13";"50.414361";"30.5359176";"Найпростіші укриття";"Підвал";"житловий будинок";"Куц";"Приватна";"050-383 90 35";"Відсутній"
"м.Київ";"Печерський";" б-р Дружби Народів";"14";"50.4136814";"30.5371644";"Найпростіші укриття";"Підвал";"житловий будинок";"ПО ВГО ""ФСТ України""";"Інша";"050 355 85 29";"Відсутній"
"м.Київ";"Печерський";" б-р Дружби Народів";"14-16";"50.41415";"30.53946";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Світ-побуту""";"Приватна";"067 325 33 39";"В наявності"
"м.Київ";"Печерський";" б-р Дружби Народів";"19-А";"50.4170167";"30.5400969";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" б-р Дружби Народів";"20";"50.4156638";"30.5408861";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" б-р Дружби Народів";"22";"50.4158431";"30.5417602";"Найпростіші укриття";"Підвал";"житловий будинок";"ПАТ ""Укрзалізниця""";"Інша";"096 802 87 20";"Відсутній"
"м.Київ";"Печерський";" б-р Дружби Народів";"24/2";"50.4161847";"30.5428043";"Найпростіші укриття";"Підвал";"житловий будинок";"ПАТ ""Укрзалізниця""";"Інша";"096 802 87 20";"Відсутній"
"м.Київ";"Печерський";" б-р Дружби Народів";"27";"50.419093";"30.5450673";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" б-р Дружби Народів";"28-А";"50.4163602";"30.5447944";"Найпростіші укриття";"Підвал";"житловий будинок";"ЖБК ""Радянський гігієніст""";"Приватна";"067 282 40 49";"Відсутній"
"м.Київ";"Печерський";" б-р Дружби Народів";"3";"50.4121238";"30.5277454";"Найпростіші укриття";"Підвал";"житловий будинок";"ОСББ ""Університет-3""";"Приватна";"098 261 03 93";"Відсутній"
"м.Київ";"Печерський";" б-р Дружби Народів";"3-А";"50.41240";"30.52849";"Подвійного призначення";"Інше";"житловий будинок";"ОСББ ""Печерський-8""";"Приватна";"050 348 93 08";"Відсутній"
"м.Київ";"Печерський";" б-р Дружби Народів";"3-Б";"50.4125839";"30.5293376";"Найпростіші укриття";"Підвал";"житловий будинок";"ОСББ ""Юність""";"Приватна";"067 282 61 25";"Відсутній"
"м.Київ";"Печерський";" б-р Дружби Народів";"32";"50.4182256";"30.5463022";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" б-р Дружби Народів";"8-А";"50.4120966";"30.5337649";"Найпростіші укриття";"Підвал";"житловий будинок";"ОСББ ""Темп-4""";"Приватна";"067 503 87 91";"Відсутній"
"м.Київ";"Печерський";" б-р Приймаченко Марії";"1/27";"50.4189387";"30.5410798";"Найпростіші укриття";"Підвал";"житловий будинок";"Якмаха ";"Приватна";"098 477 75 75";"Відсутній"
"м.Київ";"Печерський";" б-р Приймаченко Марії";"2";"50.4183211";"30.5411688";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" б-р Приймаченко Марії";"3";"50.4194956";"30.5420939";"Найпростіші укриття";"Підвал";"житловий будинок";" ТОВ  МА ""Територія А""";"Приватна";"531 97 53";"Відсутній"
"м.Київ";"Печерський";" б-р Приймаченко Марії";"6-А";"50.4188765";"30.5432798";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
