city;district;address;address_number;latitude;longitude;closure_type;shelter_type;building_type;owner;ownership_type;phone;ramp
м.Київ;Шевченківський; б-р Шевченка Тараса;10;50.4433158;30.5164539;Подвійного призначення;Підвал;Житловий будинок;ПП Харченко;Приватна;288-05-50;Відсутній
м.Київ;Шевченківський; б-р Шевченка Тараса;1 та 2;50.4424193;30.5203107;Подвійного призначення;Підземний перехід з пандусом;Підземний перехід;КП ШЕУ Шевченківського району;Комунальна;063-849-50-84;В наявності
м.Київ;Шевченківський; б-р Шевченка Тараса;26-А;50.4447355;30.5060535;Подвійного призначення;Підземний перехід з пандусом;Підземний перехід;КП ШЕУ Шевченківського району;Комунальна;063-849-50-84;В наявності
м.Київ;Шевченківський; б-р Шевченка Тараса;36-А;50.4456178;30.50213;Подвійного призначення;Підвал;Житловий будинок;Мірто Нікола;Приватна;093-411-35-58;Відсутній
м.Київ;Шевченківський; б-р Шевченка Тараса;38/40;50.4454997;30.5007917;Подвійного призначення;Підземний перехід з пандусом;Підземний перехід;КП ШЕУ Шевченківського району;Комунальна;063-849-50-84;В наявності
м.Київ;Шевченківський; б-р Шевченка Тараса;44;50.4460702;30.4996839;Подвійного призначення;Підвал;Житловий будинок;Даян Узіел;Приватна;096-221-81-77;Відсутній
м.Київ;Шевченківський; б-р Шевченка Тараса;48-А;50.4461586;30.4991129;Подвійного призначення;Підвал;Житловий будинок;ПП Трухан;Приватна;050-341-08-18;Відсутній
м.Київ;Шевченківський; б-р Шевченка Тараса;58;50.4466133;30.4960202;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;234-09-72;Відсутній
м.Київ;Шевченківський; вул. Ольжича;16;50.4799784;30.4454635;Найпростіші укриття;Підвал;Адмінбудівля;"КНП ""Центр первинної медико-санітапрної допомоги № 3"" Шевченківського району м. Києва";Комунальна;067-938-67-18;Відсутній
м.Київ;Шевченківський; вул. Сальского Володимира;2;50.4783787;30.444011;Найпростіші укриття;Підвал;Школа;Заклад загальної середньої освіти № 169;Комунальна;453-61-02;Відсутній
м.Київ;Шевченківський; вул. Андрющенка Григорія;4-А;50.4528855;30.482178;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;097-419-26-22;Відсутній
м.Київ;Шевченківський; вул. Андрющенка Григорія;4-Д;50.4532587;30.4824236;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;097-419-26-22;Відсутній
м.Київ;Шевченківський; вул. Андрющенка Григорія;4-Д;50.4534955;30.4825301;Подвійного призначення;Підвал;Житловий будинок;ТОВ «Сантана;Приватна;098-334-45-11;Відсутній
