сity;district;address;address_number;latitude;longitude;closure_type;shelter_type;building_type;owner;ownership_type;phone;ramp
м.Київ;Солом'янський; б-р Вацлава Гавела;19-А;50.44528;30.41978;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД № 904 «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;408-27-37;Відсутній
м.Київ;Солом'янський; б-р Вацлава Гавела;21-А;50.44511;30.41871;Подвійного призначення;Підвал;Житловий будинок;ЖЕД № 904 «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;408-27-37;Відсутній
м.Київ;Солом'янський; б-р Вацлава Гавела;27;50.44502;30.41645;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД № 904 «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;408-27-37;Відсутній
м.Київ;Солом'янський; б-р Вацлава Гавела;29;50.44489;30.41558;Подвійного призначення;Підвал;Житловий будинок;ЖЕД № 904 «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;408-27-37;Відсутній
м.Київ;Солом'янський; б-р Вацлава Гавела;31;50.44416;30.41260;Подвійного призначення;Підвал;Житловий будинок;ЖЕД № 904 «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;408-27-37;Відсутній
м.Київ;Солом'янський; б-р Вацлава Гавела;34-Б;50.42695;30.41602;Подвійного призначення;Підвал;Житловий будинок;ЖЕД № 905 «КК з ОЖФ Солом’янського району м.Києва;Комунальна;408-72-36;Відсутній
м.Київ;Солом'янський; б-р Вацлава Гавела;47/15;50.44006;30.40983;Подвійного призначення;Підвал;Житловий будинок;ЖЕД № 904 «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;408-27-37;Відсутній
м.Київ;Солом'янський; б-р Вацлава Гавела;49;50.43919;30.41031;Подвійного призначення;Підвал;Житловий будинок;ЖЕД № 904 «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;408-27-37;Відсутній
м.Київ;Солом'янський; б-р Вацлава Гавела;55;50.43740;30.41201;Подвійного призначення;Підвал;Житловий будинок;ЖЕД № 904 «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;408-27-37;Відсутній
м.Київ;Солом'янський; б-р Вацлава Гавела;6-В;50.44776121398624;30.42289422751295;Подвійного призначення;Підвал;Адмін. будівля;ТОВ «Л-квартал Сервіс»;Приватна;225-23-85;Відсутній
